UserID,Timestamp,"Please enter your city, state/province, and country.",What is your current age?,What is your gender?,How much time do you dedicate to cardio exercises?,How would you rate your ability to carry on a conversation during cardio exercise?,How many steps do you take on an average day?,How much time do you dedicate to strength training exercises?,"On a scale of 1-10, how would you rate your exertion during strength training activities?","How long does it take for you to catch your breath after intense physical activity (e.g., running for 3 minutes to catch a train)?",How much time do you dedicate to stretching before/after each workout session?,How much time do you dedicate to stretching generally?,How would you rate your current level of physical activity or movement?,How much time do you spend consuming self-care content for your personal wellness routine?,"On a scale of 1 to 10, how would you rate your current perception of your body image?","On a scale of 1 to 10, how would you rate how comfortable you are with yourself overall?",How many hours per day do you typically spend on social media for personal use?,What emotions do you experience while using social networking sites?,How often do you experience mood swings throughout the day?,How often do you set time aside to engage in your hobbies?,How many glasses of water do you consume on an average day?,How often do you read food labels to make informed choices about your food purchases?,How many meals do you consume on an average day?,How often do you cook meals at home using fresh ingredients?,"How many servings of vegetables do you consume on an average day?

Note: 1 serving of vegetables = the amount that can approximately fit in the palm of your hand","How many servings of fruits do you consume on an average day?

Note: 1 serving of fruits = the amount that can approximately fit in the palm of your hand",How often do you consume fast foods or deep-fried foods?,"How often do you consume highly processed foods (e.g., packaged snacks, ready-to-eat meals)?","How often do you consume sugary beverages (e.g., soda, sweetened juices)?",How often do you consume foods high in added preservatives or artificial additives?,"How often do you include probiotic-rich foods in your diet (e.g., yogurt, kefir, fermented vegetables)?","How often do you consume balanced meals that include protein, vegetables, and healthy fats (e.g., olive oil, nuts, avocados, etc)?",How diverse is your typical selection of foods and ingredients in your meals?,"How much time do you spend engaging in mindful activities (e.g., meditation, visualizations, etc)?","How many hours per week do you spend engaging in rejuvenating activities (e.g., visiting a spa, quality time with friends, etc)?",How many hours of sleep do you typically get each night?,"On a scale of 1-10, how would you rate your overall sleep quality (i.e., fall asleep, stay asleep, and wake up refreshed)?","On a scale of 1-10, how would you rate your perceived daily stress level?","On a scale of 1-5, please rate how much you enjoy audio-based wellness content (e.g., guided meditations, breathing exercises, educational talks, audio workouts, etc).","On a scale of 1-5, please rate how much you enjoy video-based wellness content (e.g., workout routines, yoga sessions, recipe videos, mindfulness exercises, educational videos, etc).","On a scale of 1-5, please rate how much you enjoy reading wellness articles (e.g., blogs, tips, recipes, educational content, etc).",Please indicate your preferred types of activities.,Please indicate your preferred types of meals.,Please select any ingredients you avoid. ,Please indicate your preferred types of restful/self-care activities.,What is the first initial of your name?
1,2023/06/21 11:18:09 AM AST,"New York, NY, USA",31,Female,Less than 30 minutes each week,"Very easy - I could easily hold a conversation without any difficulty, because my cardio workouts are light","1,000 - 4,999 steps",150 minutes (2.5 hours) each week,Moderate exertion (5-6),4 minutes,I do not stretch before/after workouts,10 - 29 minutes a week,"Somewhat inactive -  Participating in limited physical activity, with occasional movement breaks or short periods of walking",10 - 30 minutes daily,Good (7-8),Very comfortable (7-8),1 - 2 hours daily,"Very positive - Feelings of joy, happiness, and contentment",Rarely (a few times a month),Sometimes (1-2 times a week),8 - 10 glasses (64 - 80 ounces),Each time I shop,3 meals per day,Almost always (daily or multiple times a day),3 or 4 servings,1 serving,Almost never,Sometimes (1-2 times a week),Rarely (a few times a month),Almost never,Rarely (a few times a month),Almost always (daily or multiple times a day),"Some variety, but not consistently",Less than 5 minutes weekly,1 - 2 hours each week,7 - 9 hours,Average (5-6),Low stress (3-4),5,4,2,Jumping rope;Boxing or cardio kickboxing;Dance workouts;Weightlifting;Bodyweight exercises;Resistance band workouts,Paleo;Gluten-free;Dairy-free;High-protein,Dairy/lactose;Gluten;Corn;Mushrooms,"Nature walks;Listening to music;Journaling or writing;Creative hobbies (e.g., painting, drawing);Spending time with loved ones;Napping;Deep breathing;Gentle stretching;Affirmations","O, P, Q, or R"
2,2023/06/21 12:50:34 PM AST,"Miami, FL, USA",58,Male,More than 150 minutes each week,Moderate - I could hold a conversation with some effort,"5,000 - 9,999 steps",150 minutes (2.5 hours) each week,Intense exertion (7-8),2 or less minutes,1 - 4 minutes,More than 30 minutes daily,"Active - Engaged in moderate physical activities, including regular exercise or active hobbies",30 - 60 minutes each week,Good (7-8),Extremely comfortable (9-10),30 - 60 minutes daily,"Very positive - Feelings of joy, happiness, and contentment",Almost never,Often (3-4 times a week),5 - 7 glasses (40 - 56 ounces),Almost never,3 meals per day,Almost always (daily or multiple times a day),3 or 4 servings,2 servings,Rarely (a few times a month),Rarely (a few times a month),Rarely (a few times a month),Almost never,Sometimes (1-2 times a week),Often (3-4 times a week),Consistently diverse in food groups and ingredients,More than 1 hour weekly,Less than 1 hour each week,7 - 9 hours,Excellent (9-10),Extremely low stress (1-2),3,3,3,"Running or jogging;Cycling;High-intensity interval training (HIIT);Weightlifting;Bodyweight exercises;Resistance band workouts;Calisthenics (pull-ups, dips, pistol squats);Plyometric exercises (box jumps, burpees)",Vegetarian;Dairy-free;Low-carb;High-protein,Shellfish,"Reading;Listening to music;Creative hobbies (e.g., painting, drawing);Spending time with loved ones;Gardening or tending to plants;Napping;Taking quiet time;Disconnecting from technology","G, H, I, or J"
3,2023/06/21 1:47:39 PM AST,London,28,Female,30 - 60 minutes (0.5 - 1 hour) each week,"Hard - It would be difficult to hold a conversation, but I could manage short sentences","1,000 - 4,999 steps",30 - 60 minutes (0.5 - 1 hour) each week,Moderate exertion (5-6),2 or less minutes,I do not stretch before/after workouts,Less than 10 minutes each week,"Somewhat inactive -  Participating in limited physical activity, with occasional movement breaks or short periods of walking",30 - 60 minutes each week,Average (5-6),Moderately comfortable (5-6),30 - 60 minutes daily,"Neutral - A mix of positive and negative emotions, neither predominating",Sometimes (1-2 times a week),Sometimes (1-2 times a week),3 - 4 glasses (24 - 32 ounces),Often,3 meals per day,Almost always (daily or multiple times a day),2 servings,1 serving,Sometimes (1-2 times a week),Often (3-4 times a week),Rarely (a few times a month),Sometimes (1-2 times a week),Almost always (daily or multiple times a day),Almost always (daily or multiple times a day),Consistently diverse in food groups and ingredients,Less than 5 minutes weekly,Less than 1 hour each week,6 - 7 hours,Good (7-8),Moderate stress (5-6),3,4,3,"Weightlifting;Bodyweight exercises;Resistance band workouts;Kettlebell exercises;Calisthenics (pull-ups, dips, pistol squats);Plyometric exercises (box jumps, burpees)",Vegetarian;Vegan;Low-carb;High-protein,Pork;Beef;Fish;Eggs;Shellfish;Mushrooms,"Reading;Nature walks;Listening to music;Creative hobbies (e.g., painting, drawing);Spending time with loved ones;Gardening or tending to plants;Napping;Deep breathing;Calming sounds;Taking quiet time;Disconnecting from technology;Affirmations;Going to a salon/barbershop","S, T, U, or V"
4,2023/06/21 2:51:14 PM AST,"Nakuru, Kenya",23,Male,Less than 30 minutes each week,"Hard - It would be difficult to hold a conversation, but I could manage short sentences","More than 15,000 steps",30 - 60 minutes (0.5 - 1 hour) each week,Very light exertion (1-2),4 minutes,I do not stretch before/after workouts,Less than 10 minutes each week,"Active - Engaged in moderate physical activities, including regular exercise or active hobbies",1 - 14 minutes each week,Excellent (9-10),Very comfortable (7-8),More than 3 hours daily,"Neutral - A mix of positive and negative emotions, neither predominating",Rarely (a few times a month),Often (3-4 times a week),8 - 10 glasses (64 - 80 ounces),Sometimes,3 meals per day,Rarely (a few times a month),1 serving,2 servings,Often (3-4 times a week),Often (3-4 times a week),Often (3-4 times a week),Sometimes (1-2 times a week),Sometimes (1-2 times a week),Often (3-4 times a week),Consistently diverse in food groups and ingredients,Less than 5 minutes weekly,3 - 5 hours each week,5 - 6 hours,Good (7-8),Extremely low stress (1-2),1,1,4,Running or jogging;Weightlifting,High-protein,Soy,Reading;Nature walks;Listening to music;Gardening or tending to plants;Napping;Taking quiet time;Disconnecting from technology,"S, T, U, or V"
5,2023/06/21 4:48:28 PM AST,"Seattle, WA USA",37,Female,30 - 60 minutes (0.5 - 1 hour) each week,Moderate - I could hold a conversation with some effort,"1,000 - 4,999 steps",150 minutes (2.5 hours) each week,Intense exertion (7-8),2 or less minutes,More than 10 minutes,30 - 60 minutes each week,"Active - Engaged in moderate physical activities, including regular exercise or active hobbies",1 - 14 minutes each week,Good (7-8),Moderately comfortable (5-6),1 - 2 hours daily,"Mostly positive - Overall positive emotions, with occasional fluctuations",Rarely (a few times a month),Sometimes (1-2 times a week),3 - 4 glasses (24 - 32 ounces),Often,3 meals per day,Often (3-4 times a week),1 serving,2 servings,Almost never,Sometimes (1-2 times a week),Almost never,Almost never,Often (3-4 times a week),Almost always (daily or multiple times a day),Regularly diverse in food groups and ingredients,5 - 15 minutes weekly,Less than 1 hour each week,6 - 7 hours,Good (7-8),Moderate stress (5-6),4,4,4,Cycling;Swimming;Weightlifting;Bodyweight exercises,Gluten-free;Low-carb,Gluten,Reading;Nature walks;Spending time with loved ones;Gardening or tending to plants;Gentle stretching;Yoga;Affirmations;Getting a massage,"D, E, or F"
6,2023/06/23 10:54:49 AM AST,"Brooklyn, New York, USA",29,Male,More than 150 minutes each week,"Very easy - I could easily hold a conversation without any difficulty, because my cardio workouts are light","More than 15,000 steps",More than 150 minutes each week,Very intense exertion (9-10),2 or less minutes,More than 10 minutes,More than 30 minutes daily,Highly active - Engaged in intense physical activities or physically demanding work,15 - 29 minutes a week,Good (7-8),Moderately comfortable (5-6),Less than 30 minutes daily,"Neutral - A mix of positive and negative emotions, neither predominating",Often (3-4 times a week),Almost always (daily or multiple times a day),More than 10 glasses (80+ ounces),Often,2 meals per day,Almost always (daily or multiple times a day),5 or more servings,2 servings,Rarely (a few times a month),Almost never,Rarely (a few times a month),Almost never,Sometimes (1-2 times a week),Almost always (daily or multiple times a day),Moderate diversity a few times a week,More than 1 hour weekly,Less than 1 hour each week,5 - 6 hours,Average (5-6),High stress (7-8),4,1,3,"Running or jogging;Cycling;Swimming;High-intensity interval training (HIIT);Weightlifting;Bodyweight exercises;Calisthenics (pull-ups, dips, pistol squats);Hiking;Sports (soccer, tennis, etc)",Pescatarian;Dairy-free;Low-carb;High-protein,Pork;Mushrooms,Reading;Listening to music;Journaling or writing;Spending time with loved ones;Napping;Gentle stretching;Taking quiet time;Disconnecting from technology,"O, P, Q, or R"
7,2023/06/23 11:55:25 AM AST,"Navi Mumbai, Maharashtra, India",27,Male,Less than 30 minutes each week,"Very hard - I could not hold a conversation if I tried, because my cardio workouts are intense","1,000 - 4,999 steps",Less than 30 minutes each week,Very light exertion (1-2),6 minutes,I do not stretch before/after workouts,Less than 10 minutes each week,"Moderately active - Regular physical movement, such as walking or light exercise throughout the day",15 - 29 minutes a week,Average (5-6),Very comfortable (7-8),Less than 30 minutes daily,"Mostly negative - Predominantly negative emotions, with occasional positive moments",Often (3-4 times a week),Sometimes (1-2 times a week),5 - 7 glasses (40 - 56 ounces),Often,2 meals per day,Often (3-4 times a week),2 servings,2 servings,Rarely (a few times a month),Rarely (a few times a month),Often (3-4 times a week),Rarely (a few times a month),Sometimes (1-2 times a week),Sometimes (1-2 times a week),Moderate diversity a few times a week,5 - 15 minutes weekly,Less than 1 hour each week,7 - 9 hours,Good (7-8),High stress (7-8),2,2,3,"Sports (soccer, tennis, etc)",Vegetarian;High-protein,Pork;Beef;Mushrooms,Reading;Nature walks;Listening to music;Journaling or writing;Taking quiet time;Disconnecting from technology,"S, T, U, or V"
8,2023/06/23 12:25:24 PM AST,"Boston, MA. USA",41,Male,150 minutes (2.5 hours) each week,Moderate - I could hold a conversation with some effort,"5,000 - 9,999 steps",90 - 120 minutes (1.5 - 2 hours) each week,Moderate exertion (5-6),2 or less minutes,1 - 4 minutes,10 - 29 minutes a week,"Active - Engaged in moderate physical activities, including regular exercise or active hobbies",1 - 14 minutes each week,Average (5-6),Very comfortable (7-8),Less than 30 minutes daily,"Neutral - A mix of positive and negative emotions, neither predominating",Rarely (a few times a month),Often (3-4 times a week),8 - 10 glasses (64 - 80 ounces),Rarely,3 meals per day,Almost always (daily or multiple times a day),2 servings,1 serving,Sometimes (1-2 times a week),Rarely (a few times a month),Rarely (a few times a month),Rarely (a few times a month),Almost never,Sometimes (1-2 times a week),Regularly diverse in food groups and ingredients,5 - 15 minutes weekly,1 - 2 hours each week,7 - 9 hours,Good (7-8),Low stress (3-4),4,4,3,"Running or jogging;Weightlifting;Bodyweight exercises;Hiking;Sports (soccer, tennis, etc)",,,Nature walks;Napping;Getting a massage,"G, H, I, or J"
9,2023/06/23 5:08:11 PM AST,"Schenectady, NY, USA ",24,Female,150 minutes (2.5 hours) each week,"Hard - It would be difficult to hold a conversation, but I could manage short sentences","5,000 - 9,999 steps",90 - 120 minutes (1.5 - 2 hours) each week,Moderate exertion (5-6),4 minutes,1 - 4 minutes,10 - 29 minutes a week,"Active - Engaged in moderate physical activities, including regular exercise or active hobbies",15 - 29 minutes a week,Good (7-8),Moderately comfortable (5-6),2 - 3 hours daily,"Neutral - A mix of positive and negative emotions, neither predominating",Sometimes (1-2 times a week),Often (3-4 times a week),Less than 3 glasses (less than 24 ounces),Often,3 meals per day,Almost always (daily or multiple times a day),3 or 4 servings,2 servings,Rarely (a few times a month),Often (3-4 times a week),Almost never,Rarely (a few times a month),Sometimes (1-2 times a week),Almost always (daily or multiple times a day),Regularly diverse in food groups and ingredients,15 - 30 minutes weekly,1 - 2 hours each week,6 - 7 hours,Average (5-6),Moderate stress (5-6),4,5,3,Dance workouts;Weightlifting;Bodyweight exercises;Resistance band workouts;Hiking,Vegan;High-protein,Pork;Beef;Fish;Eggs;Dairy/lactose;Animal products;Shellfish,"Reading;Nature walks;Listening to music;Journaling or writing;Creative hobbies (e.g., painting, drawing);Spending time with loved ones;Gentle stretching;Affirmations;Getting a massage","O, P, Q, or R"
10,2023/06/23 10:52:54 PM AST,"San Jose, California, USA",45,Female,Less than 30 minutes each week,"Very easy - I could easily hold a conversation without any difficulty, because my cardio workouts are light","5,000 - 9,999 steps",Less than 30 minutes each week,Moderate exertion (5-6),4 minutes,1 - 4 minutes,Less than 10 minutes each week,"Moderately active - Regular physical movement, such as walking or light exercise throughout the day",15 - 29 minutes a week,Good (7-8),Very comfortable (7-8),1 - 2 hours daily,"Mostly negative - Predominantly negative emotions, with occasional positive moments",Rarely (a few times a month),Often (3-4 times a week),5 - 7 glasses (40 - 56 ounces),Each time I shop,3 meals per day,Almost always (daily or multiple times a day),3 or 4 servings,2 servings,Almost never,Almost never,Almost never,Almost never,Often (3-4 times a week),Almost always (daily or multiple times a day),Regularly diverse in food groups and ingredients,Less than 5 minutes weekly,Less than 1 hour each week,5 - 6 hours,Poor (3-4),Moderate stress (5-6),3,3,5,Power walking,Vegetarian;Pescatarian;Gluten-free;Low-carb,Pork;Beef;Animal products;Gluten;Soy;Corn;Mushrooms,"Reading;Nature walks;Listening to music;Journaling or writing;Creative hobbies (e.g., painting, drawing);Spending time with loved ones;Gardening or tending to plants;Napping;Getting a massage","A, B, or C"
11,2023/06/24 2:05:51 PM AST,"Lekki, Lagos, Nigeria",25,Male,Less than 30 minutes each week,Moderate - I could hold a conversation with some effort,"10,000 - 15,000 steps",Less than 30 minutes each week,Very light exertion (1-2),2 or less minutes,I do not stretch before/after workouts,Less than 10 minutes each week,"Very inactive - Engaging in minimal physical activity, with a predominantly desk-bound or sitting routine",None;,Poor (3-4),Minimally comfortable (3-4),More than 3 hours daily,"Mostly positive - Overall positive emotions, with occasional fluctuations",Rarely (a few times a month),Sometimes (1-2 times a week),More than 10 glasses (80+ ounces),Sometimes,3 meals per day,Almost always (daily or multiple times a day),None,None,Often (3-4 times a week),Sometimes (1-2 times a week),Often (3-4 times a week),Often (3-4 times a week),Rarely (a few times a month),Rarely (a few times a month),"Some variety, but not consistently",Less than 5 minutes weekly,3 - 5 hours each week,Less than 5 hours,Poor (3-4),Moderate stress (5-6),2,3,3,"Swimming;Dance workouts;Sports (soccer, tennis, etc)",Low-carb;High-protein,Shellfish;Soy;Sesame,Listening to music;Spending time with loved ones;Napping,"S, T, U, or V"
12,2023/06/24 4:15:44 PM AST,"Nairobi, Kenya",30,Female,Less than 30 minutes each week,Moderate - I could hold a conversation with some effort,"Less than 1,000 steps",Less than 30 minutes each week,Intense exertion (7-8),2 or less minutes,I do not stretch before/after workouts,Less than 10 minutes each week,"Very inactive - Engaging in minimal physical activity, with a predominantly desk-bound or sitting routine",1 - 14 minutes each week,Average (5-6),Moderately comfortable (5-6),More than 3 hours daily,"Neutral - A mix of positive and negative emotions, neither predominating",Almost always (daily or multiple times a day),Almost never,Less than 3 glasses (less than 24 ounces),Rarely,2 meals per day,Almost always (daily or multiple times a day),1 serving,1 serving,Sometimes (1-2 times a week),Rarely (a few times a month),Rarely (a few times a month),Almost never,Rarely (a few times a month),Rarely (a few times a month),Limited selection of food groups and ingredients,Less than 5 minutes weekly,Less than 1 hour each week,5 - 6 hours,Average (5-6),High stress (7-8),5,5,2,Jumping rope;Dance workouts;Hiking,Vegetarian;High-protein,,Nature walks;Listening to music;Journaling or writing;Napping;Deep breathing;Calming sounds;Gentle stretching;Taking quiet time;Meditation;Affirmations,"G, H, I, or J"
13,2023/06/24 7:08:50 PM AST,"Sydney, NSW, Australia",26,Male,30 - 60 minutes (0.5 - 1 hour) each week,Moderate - I could hold a conversation with some effort,"5,000 - 9,999 steps",More than 150 minutes each week,Intense exertion (7-8),6 minutes,1 - 4 minutes,10 - 29 minutes a week,"Somewhat inactive -  Participating in limited physical activity, with occasional movement breaks or short periods of walking",More than 30 minutes daily,Poor (3-4),Moderately comfortable (5-6),30 - 60 minutes daily,"Neutral - A mix of positive and negative emotions, neither predominating",Often (3-4 times a week),Sometimes (1-2 times a week),8 - 10 glasses (64 - 80 ounces),Sometimes,3 meals per day,Sometimes (1-2 times a week),1 serving,None,Sometimes (1-2 times a week),Sometimes (1-2 times a week),Rarely (a few times a month),Often (3-4 times a week),Sometimes (1-2 times a week),Sometimes (1-2 times a week),"Some variety, but not consistently",15 - 30 minutes weekly,1 - 2 hours each week,5 - 6 hours,Poor (3-4),Moderate stress (5-6),4,4,4,"Boxing or cardio kickboxing;Weightlifting;Resistance band workouts;Kettlebell exercises;Calisthenics (pull-ups, dips, pistol squats);Sports (soccer, tennis, etc)",High-protein,,Reading;Listening to music;Journaling or writing;Spending time with loved ones;Gentle stretching;Yoga;Getting a massage,"K, L, M, or N"
14,2023/06/25 1:04:38 AM AST,Nairobi ,30,Female,Less than 30 minutes each week,"Hard - It would be difficult to hold a conversation, but I could manage short sentences","1,000 - 4,999 steps",Less than 30 minutes each week,Very light exertion (1-2),4 minutes,I do not stretch before/after workouts,Less than 10 minutes each week,"Moderately active - Regular physical movement, such as walking or light exercise throughout the day",10 - 30 minutes daily,Excellent (9-10),Very comfortable (7-8),30 - 60 minutes daily,"Neutral - A mix of positive and negative emotions, neither predominating",Rarely (a few times a month),Rarely (a few times a month),3 - 4 glasses (24 - 32 ounces),Almost never,3 meals per day,Almost always (daily or multiple times a day),2 servings,1 serving,Sometimes (1-2 times a week),Rarely (a few times a month),Rarely (a few times a month),Rarely (a few times a month),Rarely (a few times a month),Almost always (daily or multiple times a day),Moderate diversity a few times a week,30 - 60 minutes weekly,1 - 2 hours each week,5 - 6 hours,Average (5-6),Moderate stress (5-6),4,5,4,Running or jogging;Cycling;Swimming;Jumping rope;Dance workouts,Vegetarian;Gluten-free;Low-carb;High-protein,Soy;Mushrooms,"Reading;Nature walks;Listening to music;Journaling or writing;Creative hobbies (e.g., painting, drawing);Spending time with loved ones;Gardening or tending to plants;Napping;Deep breathing;Taking quiet time;Meditation","O, P, Q, or R"
15,2023/06/25 1:14:37 AM AST,"New Brunswick, New Jersey, USA",24,Male,90 - 120 minutes (1.5 - 2 hours) each week,Moderate - I could hold a conversation with some effort,"5,000 - 9,999 steps",More than 150 minutes each week,Moderate exertion (5-6),2 or less minutes,1 - 4 minutes,10 - 29 minutes a week,"Active - Engaged in moderate physical activities, including regular exercise or active hobbies",More than 30 minutes daily,Good (7-8),Moderately comfortable (5-6),30 - 60 minutes daily,"Neutral - A mix of positive and negative emotions, neither predominating",Sometimes (1-2 times a week),Sometimes (1-2 times a week),More than 10 glasses (80+ ounces),Each time I shop,2 meals per day,Often (3-4 times a week),2 servings,3 or 4 servings,Sometimes (1-2 times a week),Rarely (a few times a month),Rarely (a few times a month),Rarely (a few times a month),Sometimes (1-2 times a week),Often (3-4 times a week),Moderate diversity a few times a week,15 - 30 minutes weekly,3 - 5 hours each week,6 - 7 hours,Average (5-6),Low stress (3-4),5,4,3,"Running or jogging;Swimming;Jumping rope;High-intensity interval training (HIIT);Dance workouts;Weightlifting;Sports (soccer, tennis, etc)",Low-carb;High-protein,Pork;Beef;Shellfish;Mushrooms,Reading;Nature walks;Listening to music;Napping;Deep breathing;Meditation,"O, P, Q, or R"
16,2023/06/25 1:22:59 AM AST,pune,28,Male,Less than 30 minutes each week,"Hard - It would be difficult to hold a conversation, but I could manage short sentences","Less than 1,000 steps",Less than 30 minutes each week,Very light exertion (1-2),2 or less minutes,I do not stretch before/after workouts,Less than 10 minutes each week,"Very inactive - Engaging in minimal physical activity, with a predominantly desk-bound or sitting routine",1 - 14 minutes each week,Average (5-6),Moderately comfortable (5-6),1 - 2 hours daily,"Neutral - A mix of positive and negative emotions, neither predominating",Sometimes (1-2 times a week),Sometimes (1-2 times a week),5 - 7 glasses (40 - 56 ounces),Often,3 meals per day,Rarely (a few times a month),1 serving,1 serving,Often (3-4 times a week),Rarely (a few times a month),Often (3-4 times a week),Sometimes (1-2 times a week),Rarely (a few times a month),Rarely (a few times a month),Moderate diversity a few times a week,15 - 30 minutes weekly,3 - 5 hours each week,6 - 7 hours,Average (5-6),Moderate stress (5-6),3,3,2,"Swimming;Sports (soccer, tennis, etc)",Vegetarian;Vegan;High-protein,Pork;Beef;Fish;Animal products;Shellfish,Reading;Nature walks;Listening to music,"O, P, Q, or R"
